name,kindRu,nationRu,tier,cost,attack,hp,income,vehicleClassRu,hqTypeRu,platoonSpecRu,platoonBonus,rarityRu,branch,abilities
СУ-100,Техника,СССР,6,4,2,9,1,ПТ-САУ,,,,Обычная,7-й танковый,"Техника, атакованная или контратакованная СУ-100, утрачивает свойство Маскировка и Охранение (на штабах СССР)"
СУ-101,Техника,СССР,7,5,2,10,1,ПТ-САУ,,,,Обычная,60-я танковая,Национальная особенность: | Способность активная на сводных штабах: Маскировка
СУ-122-44,Техника,СССР,7,6,3,7,1,ПТ-САУ,,,,Подарочная,,"Техника, атакованная или контратакованная СУ-122-44, не может контратаковать. | Способность активная на сводных штабах. Блиц."
СУ-122-54,Техника,СССР,9,9,3,13,2,ПТ-САУ,,,,Наёмник,41-я танковая,"Подкрепления | Национальная особенность: Когда разыграна — замешайте 3 карты из ваших потерь в колоду. | Способность активная на ударных штабах:Стоимость уменьшается на 2 за каждое повреждение, нанесённое штабу противника."
СУ-14,Техника,СССР,8,7,1,7,0,САУ,,,,Обычная,3-я дивизия,Блиц (на штабах СССР). | + 1 к огневой мощи за каждую из других ваших САУ (на тыловых штабах).
СУ-76,Техника,СССР,4,3,1,5,1,ПТ-САУ,,,,Обычная,21-й танковый,Охранение | +3 к прочности (на штабах СССР)
СУ-8,Техника,СССР,6,5,2,6,1,САУ,,,,Наёмник,21-й танковый,(только для штабов СССР) Подкрепления.
СУ-85,Техника,СССР,5,5,2,9,1,ПТ-САУ,,,,Обычная,4-я дивизия,Атакованная техника не может перемещаться в свой следующий ход (на штабах СССР). | Контратакованная техника не может перемещаться до конца хода (на штабах СССР).
Т-24,Техника,СССР,1,5,1,9,1,Средний танк,,,,Стартовая,,
Т-26,Техника,СССР,3,3,2,4,0,Лёгкий танк,,,,Обычная,Учебная часть,+2 к приросту ресурсов (только для советских штабов)
Т-28,Техника,СССР,5,4,2,5,2,Средний танк,,,,Обычная,21-й танковый,Национальная особенность: +3 к прочности.
Т-34,Техника,СССР,6,4,2,7,1,Средний танк,,,,Обычная,7-й танковый,Конвейер. | Блиц (на штабах СССР). | Охранение (на штабах СССР).
Т-37А,Техника,СССР,3,3,1,5,1,Лёгкий танк,,,,Подарочная,,Когда вы разыгрываете этот танк - замешайте одну случайную карту из своих потерь в колоду и восстановите своему штабу 1 прочности.
Т-44,Техника,СССР,9,7,3,9,1,Средний танк,,,,Обычная,3-я дивизия,Маскировка. | +2 к приросту ресурсов (на штабах СССР). | +2 к прочности (на тыловых штабах).
Т-46,Техника,СССР,4,3,2,5,1,Лёгкий танк,,,,Обычная,7-й танковый,Охранение (на штабах СССР).
Т-54,Техника,СССР,10,6,3,14,1,Средний танк,,,,Обычная,60-я танковая,Прикрытие. | Пока на поле боя - ваши Средние Танки могут перемещаться как Легкие Танки (на штабах СССР). | Блиц (на сводных штабах).
Т-80,Техника,СССР,5,4,1,6,1,Лёгкий танк,,,,Наёмник,4-я дивизия,В начале хода противника Т-80 получает +1 к приросту ресурсов (на штабах СССР).
Т25 AT,Техника,США,7,5,3,7,1,ПТ-САУ,,,,Обычная,10th Mountain,Прикрытие. | Национальная способность: Пока в руке у противника есть хотя бы 1 карта — получает свойство «Маскировка».
Т28,Техника,США,8,7,3,10,2,ПТ-САУ,,,,Обычная,11th Airborne,"Национальная способность: Когда 1 или более карт одновременно попадают в потери противника — восстановите этой ПТ-САУ 2 прочности. | Способность активная на свободных штабах: Пока эта карта не повреждена, она получает свойства Охранение и Прикрытие."
Т82,Техника,США,3,3,4,1,,ПТ-САУ,,,,Обычная,2nd Armored,Национальная способность: Если уничтожен атакой штаба или САУ - возьмите карту.
Тетрарх,Техника,СССР,3,3,1,5,1,Лёгкий танк,,,,Подарочная,,Когда атакует легкие танки - наносит на 3 повреждения больше.
Учебная часть,Штаб,СССР,1,,2,18,5,,Учебный,,,Обычная,Учебная часть,Это базовый советский штаб
Учебный танк,Техника,США,1,0,0,7,0,Средний танк,,,,Обычная,,Не может перемещаться.
Учебный танк,Техника,СССР,1,0,0,7,0,Средний танк,,,,Учебная,,Не может перемещаться.
A7V,Техника,Германия,2,4,2,8,1,Тяжёлый танк,,,,Обычная,Trainingslager,"Тяжелые танки имеют высокие боевые характеристики, но, атаковав в свой ход, не контратакуют в ход противника."
Air Supremacy,Приказ,США,4,3,,,,,,,,Обычная,11th Squadron,Восстановите 4 прочности своему штабу. | Национальная способность: -4 к приросту вражеского штаба до конца следующего хода противника.
Bauzug M,Взвод,Германия,4,3,2,8,0,,,Инженеры,defence,Обычная,PzD Kurmark,Когда получает повреждения - восстановите 1 прочности своему штабу. | (только для немецких штабов) +5 к прочности.
Be the Hero,Приказ,США,6,3,,,,,,,,Наёмник,2nd Armored,"+3 к огневой мощи и прочности выбранной техники до конца хода противника. Эта техника обнаружена для противника в его следующий ход. | Национальная способность: В следующий ход противника, пока техника, выбранная Freedom, остается на поле боя - вражеский штаб и техника могут атаковать только ваш штаб или такую технику."
Bison,Техника,Германия,3,3,1,3,0,САУ,,,,Обычная,Trainingslager,(только для немецких штабов) Блиц
Der Zorn,Приказ,Германия,4,2,,,,,,,,Обычная,PzD Jüterbog,"Выбранная техника утрачивает способность Маскировка и Охранение до конца хода противника. | (только для немецких штабов) Нанесите этой технике количество повреждений, равное огневой мощи вашего штаба."
Die Glorien,Приказ,Германия,7,3,,,,,,,,Обычная,PzD Kurmark,Возьмите карту. | (только для немецких сводных штабов) До конца хода противника все его САУ и штаб не могут атаковать.
Double Efforts,Приказ,США,2,5,,,,,,,,Обычная,Training Camp,"Выбранная техника или штаб могут атаковать еще раз в этот ход. | Национальная способность: Если выбрана техника, то она получает свойство ""Прикрытие"" до конца хода."
E-50,Техника,Германия,9,6,4,10,,Средний танк,,,,Обычная,PzD Müncheberg,"Арьергард | Национальная особенность: Когда атакует - восстановите 2 прочности этому танку. | Способность активная на ударных штабах: Пока в вашей руке нет карт, может атаковать дважды за ход."
E-50M,Техника,Германия,10,7,4,11,1,Средний танк,,,,Обычная,PzD Holstein,Маскировка | Национальная особенность: В конце вашего хода восстановите танку E50M 3 прочности. | Способность активная на сводных штабах: Прикрытие
E25,Техника,Германия,7,4,2,6,1,ПТ-САУ,,,,Подарочная,,"Маскировка. | Способность активная на ударных штабах: Когда одна или несколько карт одновременно попадают в потери, E 25 восстанавливает свою способность атаковать и передвигаться в этот ход."
Feldmediziner,Взвод,Германия,6,3,2,4,1,,,Медики,defence,Наёмник,PzD Clausewitz,В начале вашего хода этот взвод уничтожается и вашему штабу восстанавливается 6 прочности. После этого возьмите карту.. | (только для немецких штабов) Ваш штаб получает способность Маскировка
Ferdinand,Техника,Германия,8,6,3,8,1,ПТ-САУ,,,,Обычная,PzD Müncheberg,Получает на 1 повреждение меньше от атак легких и средних танков. | (только для немецких штабов) Нанесите на 2 повреждения больше технике со способностью маскировка | (только для ударных штабов) Блиц
Fernschreiber K,Взвод,Германия,3,2,1,4,0,,,Связисты,attack,Обычная,PzD Kurmark,(только для немецких штабов) Если САУ атакует ваш штаб — она наносит на 1 повреждение меньше.
Gr. Dabendorf,Штаб,Германия,4,,4,24,4,,Ударный,,,Подарочная,,"Ваш штаб не может атаковать штаб противника, пока на поле есть техника противника."
GW Tiger,Техника,Германия,9,7,3,7,1,САУ,,,,Обычная,PzD Holstein,(только для немецких штабов) Если у вас есть ПТ-САУ — GW Tiger при атаке дополнительно наносит по 1 повреждению всей технике противника. | (только для сводных штабов) Арьергард | (только для сводных штабов) Подкрепления
GW Typ E,Техника,Германия,10,8,3,8,0,САУ,,,,Обычная,PzD Schlesien,Арьергард | (только для немецких штабов) Когда атакует — дополнительно наносит 2 повреждения каждому взводу противника. | (только для тыловых штабов) В конце своего хода - восстановите 2 прочности этой САУ.
Heart of the Enemy,Приказ,США,1,2,2,,,,,,,Стартовая,,"Нанесите 2 повреждения выбранному штабу, технике или взводу."
Hetzer,Техника,Германия,4,3,3,4,1,ПТ-САУ,,,,Обычная,PzD Kurmark,"(только для немецких штабов) Получает способность маскировка, пока у Вас есть легкий танк."
Hummel,Техника,Германия,7,5,2,6,0,САУ,,,,Наёмник,PzD Kurmark,(только для немецких штабов) Наносит на 1 повреждение больше за каждый ваш лёгкий танк рядом с целью.
II. Armeekorps,Штаб,Германия,4,,1,20,8,,Тыловой,,,Премиумная,,Пока весь ваш плацдарм занят вашей техникой - ваш штаб обладает способностью «Маскировка».
In den Staub,Приказ,Германия,6,2,,,,,,,,Наёмник,PzD Clausewitz,Восстановите 2 прочности своему штабу. | (только для немецких штабов) Нанесите 10 повреждений выбранной технике. Ваш штаб получает -1 к приросту ресурсов.
Ingenieure Sch,Взвод,Германия,4,3,2,8,0,,,Инженеры,defence,Обычная,PzD Clausewitz,(только для немецких штабов) Переместите 1 случайную карту из своей колоды в потери и получите 1 ресурс.
Jackson,Техника,США,6,6,2,6,1,ПТ-САУ,,,,Обычная,2nd Armored,"Маскировка. | Национальная способность: Техника, атакованная или контратакованная M36 Jackson в этом бою, теряет прирост ресурсов. | Национальная способность: +2 к прочности."
JagdPanther,Техника,Германия,7,5,3,7,1,ПТ-САУ,,,,Обычная,PzD Schlesien,"(только для немецких штабов) В начале Вашего хода JagdPanther приобретает на выбор одну из способностей Охранение, Маскировка или Прикрытие."
JagdPz IV,Техника,Германия,6,4,2,6,0,ПТ-САУ,,,,Обычная,PzD Clausewitz,Охранение | (только для немецких штабов) Когда уничтожен - возьмите карту
JagdTiger,Техника,Германия,9,7,4,8,1,ПТ-САУ,,,,Обычная,PzD Holstein,Прикрытие | (только для немецких штабов) В начале вашего хода замешайте 1 случайную карту из своих потерь в колоду. | (только для сводных штабов) Когда JagdTiger уничтожает технику противника своей атакой — восстановите 4 прочности своему штабу.
JagdTiger 8.8,Техника,Германия,8,10,2,10,2,ПТ-САУ,,,,Премиумная,,(только для немецких штабов) Стоимость уменьшается на 1 за каждую карту в ваших потерях
Leichttraktor,Техника,Германия,1,1,2,2,0,Лёгкий танк,,,,Обычная,Trainingslager,
Liberty,Техника,США,2,7,4,7,2,Тяжёлый танк,,,,Обычная,Training Camp,"Тяжелые танки имеют высокие боевые характеристики, но атаковав в свой ход - не контратакует в ход противника."
Löwe,Техника,Германия,8,8,3,10,1,Тяжёлый танк,,,,Премиумная,,При выходе на поле получает по 1 прочности за каждые 2 карты в ваших потерях. | (только для немецких штабов) Арьергард
Luchs,Техника,Германия,4,2,1,4,1,Лёгкий танк,,,,Наёмник,PzD Jüterbog,Когда выходит на поле боя - Luchs наносит 2 повреждения штабу противника. | (только для немецких штабов) Блиц
M103,Техника,США,9,9,4,16,2,Тяжёлый танк,,,,Обычная,10th Mountain,Подкрепления | Национальная особенность: В начале вашего хода поместите 1 случайную карту из колоды противника в его потери. | Способность активная на тыловых штабах: Пока в потерях противника 15 и более карт — получает свойствоМаскировка.
M2 LT,Техника,США,2,1,1,3,1,Лёгкий танк,,,,Обычная,Training Camp,Национальная способность: Маскировка.
M2 MT,Техника,США,4,3,2,6,,Средний танк,,,,Наёмник,11th Squadron,"Национальная способность: Разыграв эту карту вы можете потратить N ресурсов, чтобы увеличить прирост ресурсов этого танка на N"
M3 Lee,Техника,США,6,2,2,3,1,Средний танк,,,,Обычная,3rd Airborne,"Разыгрывая эту карту, вы можете потратить N ресурсов, чтобы увеличить прочность этого танка на N. | Национальная способность: Охранение."
M3 Stuart,Техника,США,3,2,1,4,1,Лёгкий танк,,,,Обычная,Training Camp,Наносит на 1 повреждение больше лёгким танкам. | Национальная способность: Когда M3 Stuart выходит на поле боя - все САУ противника становятся обнаруженными.
M40/M43,Техника,США,9,7,3,8,0,САУ,,,,Обычная,10th Mountain,"Национальная способность: Наносит на 3 повреждения больше технике со способностью ""Охранение"". | Способность активная на тыловых штабах: ""Маскировка""."
M41,Техника,США,6,6,2,5,1,САУ,,,,Обычная,2nd Armored,Национальная способность: Маскировка.
M44,Техника,США,7,5,2,6,1,САУ,,,,Обычная,3rd Airborne,"Национальная способность: Когда вы разыгрываете эту технику, заплатите N ресурсов и возьмите карту за каждые 2 доплаченных ресурса."
M46 Patton,Техника,США,10,7,3,11,1,Средний танк,,,,Обычная,11th Airborne,Маскировка. | Национальная способность: Вся техника противника обнаружена. | Способность активная на сводных штабах: Если M46 Patton перемещается на клетку плацдарма противника - нанесите 3 повреждения штабу противника.
M48 Patton,Техника,США,10,8,3,12,2,Средний танк,,,,Наёмник,7th Armored,"Прикрытие. | Национальная особенность: Когда атакует, после боя — переместите этот танк на 1 клетку назад. | Способность активная на ударных штабах: Когда вы разыгрываете этот танк, получите 4 ресурсов."
M4A2E4,Техника,США,5,3,2,7,1,Средний танк,,,,Премиумная,,Национальная способность: Блиц.
M4A3E8,Техника,США,7,4,3,7,1,Средний танк,,,,Обычная,7th Armored,"Конвейер. | Национальная способность: Прикрытие. | Способность активная на ударных штабах: Когда уничтожен, посмотрите случайную карту свое колоды. Если это M4A3E8 Sherman, поместите его в вашу руку."
M5 Stuart,Техника,США,4,3,2,5,1,Лёгкий танк,,,,Обычная,2nd Armored,Национальная способность: Маскировка.
M6,Техника,США,8,9,3,12,2,Тяжёлый танк,,,,Обычная,11th Airborne,Охранение. | Национальная способность: Прикрытие. | Способность активная только на свободных штабах: Маскировка.
M6A2E1,Техника,США,8,8,4,11,1,Тяжёлый танк,,,,Премиумная,,Контратакует независимо от проведённой в свой ход атаки. | Национальная способность: Получает на 2 повреждения меньше от первой атаки за ход.
Marder II,Техника,Германия,3,3,3,2,1,ПТ-САУ,,,,Обычная,PzD Jüterbog,(только для немецких штабов) Блиц
Maus,Техника,Германия,10,8,2,19,0,Тяжёлый танк,,,,Наёмник,PzD Holstein,Когда Maus перемещается на одну из клеток плацдарма противника — возьмите карту. | (только для немецких штабов) +3 к огневой мощи. | (только для сводных штабов) Получает на 1 повреждение меньше от атак.
Mortars 17,Взвод,США,7,4,2,8,1,,,Артиллеристы,defence,Обычная,10th Mountain,Противник помещает 1 случайную карту из своей колоды в потери. Нанесите 1 повреждение своему штабу. | Национальная способность: Восстановите 1 прочности этому взводу в конце вашего хода.
Nachrichten 1. PD,Взвод,Германия,2,2,1,6,0,,,Разведчики,defence,Обычная,PzD Clausewitz,(только для немецких штабов) +2 к поддержке.
Nachschubzug,Взвод,Германия,9,6,2,9,0,,,Инженеры,defence,Наёмник,PzD Schlesien,(только для немецких штабов) Вся немецкая техника в вашей руке получает способность Блиц | (только для ударных штабов) Блиц
Niederlage,Приказ,Германия,8,2,,,,,,,,Обычная,PzD Müncheberg,Нанесите 3 повреждения выбранной технике. | (только для немецких штабов) Если выбрана САУ — противник сбрасывает 1 случайную карту из своей руки в потери. | (только для ударных штабов) Нанесите 3 повреждения штабу противника.
Panther,Техника,Германия,8,5,4,10,1,Средний танк,,,,Обычная,PzD Müncheberg,(только для немецких штабов) Ваш штаб получает +1 к огневой мощи. | (только для ударных штабов) Огневая мощь Panther равна огневой мощи Вашего штаба.
Panzerfunker H,Взвод,Германия,5,6,2,9,0,,,Связисты,defence,Обычная,PzD Kurmark,Когда ваш штаб атакует штаб противника — наносит на 1 повреждение больше. | (только для немецких штабов) Арьергард
Panzerjäger I,Техника,Германия,1,4,3,3,0,ПТ-САУ,,,,Удалена из игры,,"ПТ-САУ стреляют первыми,и если своим выстрелом уничтожают технику противника, уже не получают выстрела в ответ."
Pershing,Техника,США,9,7,3,8,3,Средний танк,,,,Обычная,7th Armored,Прикрытие. | Национальная способность: Маскировка. | Способность активная на ударных штабах: В конце своего хода восстановите 2 прочности своему штабу.
Pz S35,Техника,Германия,3,3,2,6,1,Средний танк,,,,Премиумная,,Когда уничтожен - замешайте эту карту из своих потерь в колоду.
Pz35(t),Техника,Германия,2,2,2,4,0,Лёгкий танк,,,,Обычная,Trainingslager,Для немецких штабов: +2 к приросту ресурсов пока у вас есть САУ (на поле)
Pz35(t),Техника,Германия,2,2,2,4,0,Лёгкий танк,,,,Обычная,Trainingslager,Для немецких штабов: +2 к приросту ресурсов пока у вас есть САУ (на поле)
Pz38(t),Техника,Германия,3,4,3,4,0,Лёгкий танк,,,,Обычная,Trainingslager,(только для немецких штабов) +2 к приросту ресурсов
Pz38H (f),Техника,Германия,3,3,1,5,1,Лёгкий танк,,,,Премиумная,,(только для немецких штабов) Охранение
PzD Holstein,Штаб,Германия,8,,3,31,7,,Сводный,,,Обычная,PzD Kurmark,(за 5 ресурса) Восстановите выбранной технике возможность перемещаться.
PzD Kurmark,Штаб,Германия,4,,2,25,6,,Сводный,,,Обычная,Trainingslager,+1 к приросту ресурсов за каждые 2 карты техники на поле боя
PzD Müncheberg,Штаб,Германия,8,,4,25,5,,Ударный,,,Обычная,PzD Jüterbog,"В начале вашего хода, если у вас в руке нет карт — возьмите карту."
PzIII/IV,Техника,Германия,5,2,3,6,-1,Средний танк,,,,Наёмник,PzD Jüterbog,Охранение | (только для немецких штабов) +1 к приросту ресурсов.
PzKpfw II,Техника,Германия,3,1,1,2,1,Лёгкий танк,,,,Обычная,PzD Jüterbog,Охранение | (только для немецких штабов) Если этот танк уничтожен атакой штаба или САУ - нанесите 2 повреждения штабу противника.
PzKpfw IV,Техника,Германия,6,4,3,6,1,Средний танк,,,,Обычная,PzD Jüterbog,Конвейер | (только для немецких штабов) Когда атакует - замешайте одну случайную карту из своих потерь в колоду.
Ru 251,Техника,Германия,8,3,3,4,2,Лёгкий танк,,,,Обычная,PzD Müncheberg,"Национальная особенность: Прикрытие | Способность активная на ударных штабах: Получает на 2 повреждения меньше от атак, пока у вас есть защитный взвод."
Späher M,Взвод,Германия,1,4,2,7,0,,,Разведчики,defence,Удалена из игры,,Защитные взводы принимают на себя часть получаемого штабом урона.
Stärke,Приказ,Германия,7,2,,,,,,,,Обычная,PzD Jüterbog,Замешайте 3 случайные карты из своих потерь в колоду. | (только для немецких ударных штабов) +2 к приросту ресурсов вашего штаба.
StuG III,Техника,Германия,5,4,2,6,1,ПТ-САУ,,,,Обычная,PzD Kurmark,Конвейер. Охранение. | (только для немецких штабов) +1 к огневой мощи.
Sturmpanzer II,Техника,Германия,5,4,2,4,,САУ,,,,Обычная,PzD Jüterbog,(только для немецких штабов) Подкрепления
T-15,Техника,Германия,3,2,1,5,0,Лёгкий танк,,,,Премиумная,,(только для немецких штабов) -2 к стоимости.
T-21,Техника,Германия,1,5,3,5,1,Средний танк,,,,Стартовая,,"Средние танки - самый универсальный тип техники, и могут передвигаться по диагонали."
T-62А,Техника,СССР,10,6,3,14,1,Средний танк,,,,Обычная,3-я дивизия,"Прикрытие | Национальная особенность: Когда атакует или контратакует технику со свойством Маскировка, Охранение или Подкрепление — подожгите такую технику. | Способность активная на тыловых штабах: Может быть разыгран на любую клетку рядом с вашим средним танком."
T1 LT,Техника,США,1,3,2,3,1,Лёгкий танк,,,,Стартовая,,"Лёгкие танки могут передвигаться два раза за ход, причём могут переместиться один раз сразу после выхода на поле."
T110E5,Техника,США,10,12,5,16,2,Тяжёлый танк,,,,Обычная,10th Mountain,"Национальная способность: Техника противника на соседних с этим танком клетках, получает на 1 повреждение больше. | Способность активная на тыловых штабах: Вы можете разыграть T110E5 на центральную клетку поля боя."
T18,Техника,США,1,4,2,5,,ПТ-САУ,,,,Удалена из игры,,"ПТ-САУ стреляют первыми, и если они своим выстрелом уничтожают технику противника, уже не получают выстрела в ответ."
T20,Техника,США,7,5,2,9,1,Средний танк,,,,Обычная,11th Airborne,Когда вы разыгрываете этот танк — противник помещает 2 случайные карты из своей колоды в потери. | Национальная особенность: Прикрытие
T25/2,Техника,США,7,6,3,9,1,ПТ-САУ,,,,Обычная,10th Mountain,"Охранение. | Национальная способность: Разыгрывая эту технику, вы можете потратить N ресурсов, чтобы нанести N повреждений каждому лёгкому танку противника на соседних клетках."
T30,Техника,США,10,11,2,12,1,ПТ-САУ,,,,Обычная,10th Mountain,"Способность активная на тыловых штабах, всех наций: ""Охранение"". | Национальная способность: Огневая мощь вашей техники увеличивается на число, равное её приросту ресурсов."
T32,Техника,США,9,9,3,13,3,Тяжёлый танк,,,,Наёмник,7th Armored,Способность активная на ударных штабах: Подкрепления. | Национальная способность: Ваши взводы получают на 1 повреждение меньше.
T34,Техника,США,8,8,4,12,2,Тяжёлый танк,,,,Премиумная,,Национальная способность: Когда T34 разыгран — получает +1 к огневой мощи за каждый ваш взвод.
T40,Техника,США,4,4,2,5,2,ПТ-САУ,,,,Обычная,11th Squadron,Национальная способность: Охранение.
T57,Техника,США,3,3,1,3,1,САУ,,,,Обычная,Training Camp,Национальная способность: Маскировка.
T6,Техника,США,1,5,2,7,1,Средний танк,,,,Стартовая,,"Средние танки - самый универсальный тип техники, и могут передвигаться по диагонали."
Telephonists EF,Взвод,США,2,4,3,6,,,,Связисты,defence,Обычная,3rd Airborne,Когда защищает ваш штаб от атак лёгких танков - получает на 1 повреждение больше. | Национальная способность: +3 к прочности взвода.
The Key,Приказ,США,6,4,,,,,,,,Наёмник,11th Squadron,Верните выбранную технику в руку владельца . | Национальная способность: Возьмите карту.
Tiger,Техника,Германия,8,7,4,12,1,Тяжёлый танк,,,,Наёмник,PzD Müncheberg,(только для ударных штабов) Арьергард | (только для немецких штабов) Маскировка
Tiger (P),Техника,Германия,8,6,3,8,1,Тяжёлый танк,,,,Наёмник,PzD Holstein,"Подкрепления | Национальная особенность: Получает на 2 повреждения меньше от атак, пока у вас есть лёгкий танк."
Tiger II,Техника,Германия,9,8,4,17,1,Тяжёлый танк,,,,Обычная,PzD Schlesien,Получает на 2 повреждения больше от атак ПТ-САУ | (только для немецких штабов) Арьергард | (только для немецких штабов) Прикрытие | (только для тыловых штабов) Наносит на 2 повреждения больше тяжелым танкам
Training Camp,Штаб,США,1,,2,18,5,,Учебный,,,Обычная,Training Camp,"Этот штаб имеет высокий прирост ресурсов, позволяющий ему использовать сильные карты, но зато низкую прочность."
Trainingslager,Штаб,Германия,1,,2,18,5,,Учебный,,,Обычная,Trainingslager,
Ungeschlagen,Приказ,Германия,7,4,,,,,,,,Обычная,PzD Clausewitz,Возьмите карту. | (только для немецких тыловых штабов) Восстановите по 4 прочности своему штабу и всей своей технике.
VK 3001 (P),Техника,Германия,7,4,4,6,1,Средний танк,,,,Обычная,PzD Holstein,(только для немецких штабов) Прикрытие
VK 3002 (DB),Техника,Германия,8,5,3,6,1,Средний танк,,,,Обычная,PzD Schlesien,(только для немецких штабов) Когда атакован - возьмите карту. | (только для тыловых штабов) Когда атакует - возьмите карту.
